Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Matheus Nicolau,0,22,55,40%,22,55,0,0,---,0,0,0,13,44,4,5,5,6,22,55,0,0,0,0,L
Alex Perez,1,28,71,39%,28,71,0,0,---,0,0,2,11,50,8,11,9,10,28,71,0,0,0,0,W
Ryan Spann,0,15,38,39%,20,44,1,3,33%,1,0,209,10,30,3,6,2,2,11,34,2,2,2,2,L
Bogdan Guskov,1,31,48,64%,49,67,0,0,---,0,0,20,30,47,0,0,1,1,17,31,0,0,14,17,W
Ariane da Silva,0,42,81,51%,89,153,0,0,---,0,0,126,12,37,22,29,8,15,31,66,8,11,3,4,L
Karine Silva,0,27,75,36%,53,120,5,6,83%,0,0,452,8,29,9,32,10,14,21,65,2,4,4,6,W
Austen Lane,0,17,37,45%,43,73,1,4,25%,0,0,269,15,34,2,3,0,0,11,25,0,0,6,12,L
Jhonata Diniz,1,20,33,60%,31,45,0,0,---,0,0,32,15,28,4,4,1,1,16,25,4,8,0,0,W
Jonathan Pearce,0,57,129,44%,87,165,5,14,35%,1,1,289,37,102,13,19,7,8,44,114,1,1,12,14,L
David Onama,0,58,104,55%,66,115,0,1,0%,1,5,135,50,94,6,8,2,2,54,99,4,5,0,0,W
Tim Means,0,7,17,41%,10,21,0,3,0%,0,0,78,1,10,5,6,1,1,5,14,2,3,0,0,L
Uros Medic,1,7,12,58%,11,16,0,1,0%,0,0,4,5,10,1,1,1,1,5,9,1,2,1,1,W
Rani Yahya,0,54,109,49%,56,111,0,10,0%,0,0,48,28,76,6,9,20,24,51,105,3,4,0,0,L
Victor Henry,2,109,205,53%,150,260,0,2,0%,0,0,189,84,176,21,24,4,5,89,173,2,5,18,27,W
